147,Sartène,3363,sous-préfecture,2A
148,Calvi,5330,sous-préfecture,2B
149,Corte,7355,sous-préfecture,2B
150,Beaune,21579,sous-préfecture,21
151,Montbard,5350,sous-préfecture,21
152,Dinan,10919,sous-préfecture,22
153,Guingamp,7003,sous-préfecture,22
154,Lannion,19869,sous-préfecture,23
155,Aubusson,3591,sous-préfecture,23
156,Bergerac,27764,sous-préfecture,24
157,Nontron,3151,sous-préfecture,24
158,Sarlat-la-Canéda,9127,sous-préfecture,24
159,Montbéliard,25521,sous-préfecture,25
160,Pontarlier,17413,sous-préfecture,25
161,Die,4516,sous-préfecture,26
162,Nyons,6641,sous-préfecture,26
163,Bernay,10435,sous-préfecture,27
164,Les Andelys,8186,sous-préfecture,27
165,Châteaudun,13264,sous-préfecture,28
166,Dreux,31191,sous-préfecture,28
167,Nogent-le-Rotrou,10130,sous-préfecture,28
168,Brest,139384,sous-préfecture,29
169,Châteaulin,5173,sous-préfecture,29
170,Morlaix,14837,sous-préfecture,29
171,Alès,39993,sous-préfecture,30
172,Le Vigan,3933,sous-préfecture,30
173,Muret,24975,sous-préfecture,31
174,Saint-Gaudens,11255,sous-préfecture,31
175,Condom,6835,sous-préfecture,32
176,Mirande,3527,sous-préfecture,32
177,Arcachon,10370,sous-préfecture,33
178,Blaye,4769,sous-préfecture,33
179,Langon,7396,sous-préfecture,33
180,Lesparre-Médoc,5604,sous-préfecture,33
181,Libourne,24595,sous-préfecture,33
182,Béziers,75701,sous-préfecture,34
183,Lodève,7381,sous-préfecture,34
184,Fougères,20189,sous-préfecture,35
185,Redon,8921,sous-préfecture,35
186,Saint-Malo,45980,sous-préfecture,35
187,Issoudun,12270,sous-préfecture,36
188,La Châtre,4278,sous-préfecture,36
189,Le Blanc,6602,sous-préfecture,36
190,Chinon,8073,sous-préfecture,37
191,Loches,6321,sous-préfecture,37
192,La Tour-du-Pin,7934,sous-préfecture,38
193,Vienne,29096,sous-préfecture,38
